|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
| Nombre       | Numero_Pokedex | Clasificacion                                       | Tipo_1    | Tipo_2    | Peso  | Altura | Probabilidad_Macho | Probabilidad_Hembra | Habilidades                                                                               | PS  | Ataque | Defensa | Ataque_Especial | Defensa_Especial | Velocidad | Total | Contra_Bicho | Contra_Siniestro | Contra_Dragon | Contra_Electrico | Contra_Hada | Contra_Lucha | Contra_Fuego | Contra_Volador | Contra_Fantasma | Contra_Planta | Contra_Tierra | Contra_Hielo | Contra_Normal | Contra_Veneno | Contra_Psiquico | Contra_Roca | Contra_Acero | Contra_Agua | Legendario | Generacion |
|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
| Bulbasaur    |              1 | Seed Pokémon                                        | Planta    | Veneno    |   6.9 |    0.7 |               88.1 |  11.900000000000006 | ['Overgrow', 'Chlorophyll']                                                               |  45 |     49 |      49 |              65 |               65 |        45 |   318 |          1.0 |              1.0 |           1.0 |              0.5 |         0.5 |          0.5 |          2.0 |            2.0 |             1.0 |          0.25 |           1.0 |          2.0 |           1.0 |           1.0 |             2.0 |         1.0 |          1.0 |         0.5 |          0 |          1 |
|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
| Ivysaur      |              2 | Seed Pokémon                                        | Planta    | Veneno    |  13.0 |    1.0 |               88.1 |  11.900000000000006 | ['Overgrow', 'Chlorophyll']                                                               |  60 |     62 |      63 |              80 |               80 |        60 |   405 |          1.0 |              1.0 |           1.0 |              0.5 |         0.5 |          0.5 |          2.0 |            2.0 |             1.0 |          0.25 |           1.0 |          2.0 |           1.0 |           1.0 |             2.0 |         1.0 |          1.0 |         0.5 |          0 |          1 |
|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
| Venusaur     |              3 | Seed Pokémon                                        | Planta    | Veneno    | 100.0 |    2.0 |               88.1 |  11.900000000000006 | ['Overgrow', 'Chlorophyll']                                                               |  80 |    100 |     123 |             122 |              120 |        80 |   625 |          1.0 |              1.0 |           1.0 |              0.5 |         0.5 |          0.5 |          2.0 |            2.0 |             1.0 |          0.25 |           1.0 |          2.0 |           1.0 |           1.0 |             2.0 |         1.0 |          1.0 |         0.5 |          0 |          1 |
|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
| Charmander   |              4 | Lizard Pokémon                                      | Fuego     |         - |   8.5 |    0.6 |               88.1 |  11.900000000000006 | ['Blaze', 'Solar Power']                                                                  |  39 |     52 |      43 |              60 |               50 |        65 |   309 |          0.5 |              1.0 |           1.0 |              1.0 |         0.5 |          1.0 |          0.5 |            1.0 |             1.0 |           0.5 |           2.0 |          0.5 |           1.0 |           1.0 |             1.0 |         2.0 |          0.5 |         2.0 |          0 |          1 |
|--------------|----------------|-----------------------------------------------------|-----------|-----------|-------|--------|--------------------|---------------------|-------------------------------------------------------------------------------------------|-----|--------|---------|-----------------|------------------|-----------|-------|--------------|------------------|---------------|------------------|-------------|--------------|--------------|----------------|-----------------|---------------|---------------|--------------|---------------|---------------|-----------------|-------------|--------------|-------------|------------|------------|
